id,State,City,Forecast Number,Date,Main Condition,Condition Description,Icon,Low Temperature,High Temperature,Humidity Percentage,Wind MPH,Wind Direction,Rain Inches,Snow Inches,Pressure,Cloud Percent,UTC Timestamp,Timezone Offset
17,Colorado,Denver/Boulder,2,Wed 3/22,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,31.89,56.19,59,25,W,0.65,0.12,1001,97,1679511600,-21600
18,Colorado,Denver/Boulder,3,Thu 3/23,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,36.86,50.4,23,24,SW,0.15,0.17,1006,21,1679598000,-21600
19,Colorado,Denver/Boulder,4,Fri 3/24,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,30.25,48.97,21,14,W,0,0.21,1004,100,1679684400,-21600
20,Colorado,Denver/Boulder,5,Sat 3/25,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,24.94,39.36,22,30,W,0,0,1008,0,1679770800,-21600
21,Colorado,Grand Junction,1,Tue 3/21,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,30.22,42.4,63,11,E,2.82,0,1009,100,1679425200,-21600
22,Colorado,Grand Junction,2,Wed 3/22,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,38.53,46.71,80,27,SW,7.72,0,1005,74,1679511600,-21600
23,Colorado,Grand Junction,3,Thu 3/23,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,35.33,45.01,69,7,W,1.04,0.49,1016,100,1679598000,-21600
24,Colorado,Grand Junction,4,Fri 3/24,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,30.96,44.56,57,23,W,1.53,1.44,1012,100,1679684400,-21600
25,Colorado,Grand Junction,5,Sat 3/25,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,28.08,38.7,27,7,SE,0,0,1018,26,1679770800,-21600
26,Colorado,Pueblo,1,Tue 3/21,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,40.48,60.08,21,14,E,0,0,1004,100,1679425200,-21600
27,Colorado,Pueblo,2,Wed 3/22,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,42.8,64.49,30,34,SW,0,0,1000,16,1679511600,-21600
28,Colorado,Pueblo,3,Thu 3/23,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,38.66,57.34,15,22,SW,0,0,1006,0,1679598000,-21600
29,Colorado,Pueblo,4,Fri 3/24,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,37.17,53.58,26,19,SW,0.21,0,1005,63,1679684400,-21600
30,Colorado,Pueblo,5,Sat 3/25,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,32.2,50.16,8,22,W,0,0,1008,3,1679770800,-21600
31,Illinois,Chicago,1,Tue 3/21,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,34.45,51.73,52,15,S,0,0,1022,100,1679418000,-18000
32,Illinois,Chicago,2,Wed 3/22,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,37.53,46.98,93,12,SE,1.57,0,1015,100,1679504400,-18000
33,Illinois,Chicago,3,Thu 3/23,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,36.52,46.51,91,15,N,7.81,0,1012,100,1679590800,-18000
34,Illinois,Chicago,4,Fri 3/24,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,35.89,41.43,83,13,N,0,0,1012,90,1679677200,-18000
35,Illinois,Chicago,5,Sat 3/25,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,35.98,50.18,49,15,N,0,0,1005,99,1679763600,-18000
36,Illinois,Lincoln,1,Tue 3/21,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,36.57,48.78,57,19,S,3.92,0,1021,100,1679421600,-18000
37,Illinois,Lincoln,2,Wed 3/22,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,38.08,55.81,97,12,SE,2.91,0,1015,100,1679508000,-18000
38,Illinois,Lincoln,3,Thu 3/23,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,45.54,66.69,85,19,S,12.39,0,1008,100,1679594400,-18000
39,Illinois,Lincoln,4,Fri 3/24,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,39.94,45.63,80,13,NE,14.79,0,1009,90,1679680800,-18000
40,Illinois,Lincoln,5,Sat 3/25,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,38.44,54.03,61,16,NW,4.97,0,1007,92,1679767200,-18000
41,Indiana,Indianapolis,1,Tue 3/21,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,31.73,52.75,35,14,S,2.65,0,1025,100,1679418000,-14400
42,Indiana,Indianapolis,2,Wed 3/22,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,40.14,51.66,95,11,SE,1.01,0,1019,100,1679504400,-14400
43,Indiana,Indianapolis,3,Thu 3/23,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,52.34,63.61,93,18,SW,9.46,0,1011,100,1679590800,-14400
44,Indiana,Indianapolis,4,Fri 3/24,Rain,heavy intensity rain,http://openweathermap.org/img/wn/10d@2x.png,47.28,64.02,71,12,NE,73.48,0,1006,100,1679677200,-14400
45,Indiana,Indianapolis,5,Sat 3/25,Rain,heavy intensity rain,http://openweathermap.org/img/wn/10d@2x.png,38.82,48.54,85,20,W,25.62,0,1004,100,1679763600,-14400
46,Indiana,Northern Indiana,1,Tue 3/21,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,32.88,50.77,45,15,S,0.85,0,1024,100,1679418000,-14400
47,Indiana,Northern Indiana,2,Wed 3/22,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,39,48.29,90,15,S,1.99,0,1017,100,1679504400,-14400
48,Indiana,Northern Indiana,3,Thu 3/23,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,42.28,54.28,96,10,N,14.71,0,1010,100,1679590800,-14400
49,Indiana,Northern Indiana,4,Fri 3/24,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,37.06,41.45,80,15,E,1.48,0,1012,100,1679677200,-14400
50,Indiana,Northern Indiana,5,Sat 3/25,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,31.08,38.71,99,19,W,17.98,23.87,1001,100,1679763600,-14400
51,Iowa,Davenport/Quad Cities,1,Tue 3/21,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,37.67,51.28,54,15,SE,0,0,1018,100,1679421600,-18000
52,Iowa,Davenport/Quad Cities,2,Wed 3/22,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,37.92,51.1,91,12,SE,0.81,0,1014,100,1679508000,-18000
53,Iowa,Davenport/Quad Cities,3,Thu 3/23,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,37.26,46.62,86,16,N,2.45,0,1012,100,1679594400,-18000
54,Iowa,Davenport/Quad Cities,4,Fri 3/24,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,32.81,49.98,62,12,NE,0.16,0,1011,71,1679680800,-18000
55,Iowa,Davenport/Quad Cities,5,Sat 3/25,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,32.58,50.95,54,12,N,0,0,1007,76,1679767200,-18000
56,Iowa,Des Moines,1,Tue 3/21,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,40.26,45.23,76,14,SE,0,0,1015,89,1679421600,-18000
57,Iowa,Des Moines,2,Wed 3/22,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,40.26,56.91,58,12,N,0.16,0,1013,89,1679508000,-18000
58,Iowa,Des Moines,3,Thu 3/23,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,35.44,45.07,81,16,N,0.32,0,1014,100,1679594400,-18000
59,Iowa,Des Moines,4,Fri 3/24,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,30.9,51.98,62,9,NE,0,0,1011,14,1679680800,-18000
60,Iowa,Des Moines,5,Sat 3/25,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,33.98,51.19,56,7,NE,2.87,0,1009,72,1679767200,-18000
61,Kansas,Dodge City,1,Tue 3/21,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,44.29,69.1,30,25,SE,0,0,1004,48,1679421600,-18000
62,Kansas,Dodge City,2,Wed 3/22,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,41.88,77.23,35,29,SW,0,0,1007,96,1679508000,-18000
63,Kansas,Dodge City,3,Thu 3/23,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,51.66,70.66,26,26,SW,0,0,1008,100,1679594400,-18000
64,Kansas,Dodge City,4,Fri 3/24,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,39.49,55.78,55,16,NE,1.76,0,1006,83,1679680800,-18000
65,Kansas,Dodge City,5,Sat 3/25,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,34.56,56.66,14,26,NW,0.29,0,1012,31,1679767200,-18000
66,Kansas,Goodland,1,Tue 3/21,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,28.76,54.91,44,15,NW,0,0,1006,74,1679421600,-21600
67,Kansas,Goodland,2,Wed 3/22,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,36.86,73.62,50,29,SW,0,0,1005,18,1679508000,-21600
68,Kansas,Goodland,3,Thu 3/23,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,40.41,60.31,25,16,NE,0,0,1008,68,1679594400,-21600
69,Kansas,Goodland,4,Fri 3/24,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,37.81,55.65,32,11,N,1.5,0,1006,100,1679680800,-21600
70,Kansas,Goodland,5,Sat 3/25,Snow,snow,http://openweathermap.org/img/wn/13d@2x.png,30.88,47.7,19,25,W,0,4.07,1010,3,1679767200,-21600
71,Kansas,Topeka,1,Tue 3/21,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,42.71,49.55,90,19,SE,1.48,0,1012,100,1679421600,-18000
72,Kansas,Topeka,2,Wed 3/22,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,50.83,60.4,94,13,SE,0.4,0,1011,100,1679508000,-18000
73,Kansas,Topeka,3,Thu 3/23,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,49.12,66.06,63,24,S,0.18,0,1010,100,1679594400,-18000
74,Kansas,Topeka,4,Fri 3/24,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,39.54,58.82,63,13,NE,2.12,0,1007,47,1679680800,-18000
75,Kansas,Topeka,5,Sat 3/25,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,41.05,57.79,42,17,SW,0,0,1009,60,1679767200,-18000
76,Kansas,Wichita,1,Tue 3/21,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,42.64,71.83,52,19,SE,0.97,0,1007,95,1679421600,-18000
77,Kansas,Wichita,2,Wed 3/22,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,49.12,80.94,42,21,S,0,0,1009,98,1679508000,-18000
78,Kansas,Wichita,3,Thu 3/23,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,58.03,74.62,32,19,S,0.5,0,1008,99,1679594400,-18000
79,Kansas,Wichita,4,Fri 3/24,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,45.97,60.03,60,11,N,3.12,0,1005,40,1679680800,-18000
80,Kansas,Wichita,5,Sat 3/25,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,43.32,59.45,20,15,NW,0,0,1012,47,1679767200,-18000
81,Kentucky,Jackson,1,Tue 3/21,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,30.96,58.59,31,7,S,0,0,1029,96,1679418000,-14400
82,Kentucky,Jackson,2,Wed 3/22,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,43.03,51.87,83,11,S,7.11,0,1025,100,1679504400,-14400
83,Kentucky,Jackson,3,Thu 3/23,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,50.97,74.28,60,14,SW,0,0,1017,100,1679590800,-14400
84,Kentucky,Jackson,4,Fri 3/24,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,61.34,68.95,88,15,SW,5.6,0,1009,99,1679677200,-14400
85,Kentucky,Jackson,5,Sat 3/25,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,49.69,65.64,66,21,SW,7.75,0,1003,11,1679763600,-14400
86,Kentucky,Louisville,1,Tue 3/21,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,30.22,54.86,40,13,S,2.8,0,1027,100,1679418000,-14400
87,Kentucky,Louisville,2,Wed 3/22,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,43.52,52.66,92,13,S,3.01,0,1022,100,1679504400,-14400
88,Kentucky,Louisville,3,Thu 3/23,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,53.74,71.15,72,17,S,0.4,0,1015,100,1679590800,-14400
89,Kentucky,Louisville,4,Fri 3/24,Rain,heavy intensity rain,http://openweathermap.org/img/wn/10d@2x.png,57.34,66.9,92,16,S,74.78,0,1007,100,1679677200,-14400
90,Kentucky,Louisville,5,Sat 3/25,Rain,heavy intensity rain,http://openweathermap.org/img/wn/10d@2x.png,48.78,58.8,79,24,S,32.42,0,1006,88,1679763600,-14400
91,Kentucky,Paducah,1,Tue 3/21,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,35.4,43.74,80,14,SE,15.51,0,1025,100,1679421600,-18000
92,Kentucky,Paducah,2,Wed 3/22,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,43.52,63.63,93,16,S,8.96,0,1018,100,1679508000,-18000
93,Kentucky,Paducah,3,Thu 3/23,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,63.05,71.53,88,20,S,0.44,0,1015,100,1679594400,-18000
94,Kentucky,Paducah,4,Fri 3/24,Rain,heavy intensity rain,http://openweathermap.org/img/wn/10d@2x.png,60.22,67.3,95,18,S,101.82,0,1004,100,1679680800,-18000
95,Kentucky,Paducah,5,Sat 3/25,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,49.44,59.79,77,17,SW,3.38,0,1009,96,1679767200,-18000
96,Michigan,Detroit/Pontiac,1,Tue 3/21,Snow,snow,http://openweathermap.org/img/wn/13d@2x.png,33.12,49.82,49,11,S,0,0.86,1025,95,1679418000,-14400
97,Michigan,Detroit/Pontiac,2,Wed 3/22,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,38.82,45.52,94,12,S,0.89,0,1019,100,1679504400,-14400
98,Michigan,Detroit/Pontiac,3,Thu 3/23,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,37.4,45.97,90,12,NW,12.61,0,1011,100,1679590800,-14400
99,Michigan,Detroit/Pontiac,4,Fri 3/24,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,31.53,40.06,61,10,NE,1.15,0,1013,96,1679677200,-14400
100,Michigan,Detroit/Pontiac,5,Sat 3/25,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,28.35,35.46,99,21,NW,17.16,15.05,992,100,1679763600,-14400
101,Michigan,Gaylord,1,Tue 3/21,Snow,snow,http://openweathermap.org/img/wn/13d@2x.png,18.86,33.44,77,12,E,0,1.66,1026,99,1679418000,-14400
102,Michigan,Gaylord,2,Wed 3/22,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,28.45,36.46,98,13,S,0.67,0,1015,100,1679504400,-14400
103,Michigan,Gaylord,3,Thu 3/23,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,25.88,36.52,69,12,W,0,0,1014,74,1679590800,-14400
104,Michigan,Gaylord,4,Fri 3/24,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,24.15,37.92,50,10,E,0,0,1016,59,1679677200,-14400
105,Michigan,Gaylord,5,Sat 3/25,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,27.66,36.82,69,14,NE,0,0,1002,100,1679763600,-14400
106,Michigan,Grand Rapids,1,Tue 3/21,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,34.02,49.32,58,11,S,0,0,1023,100,1679418000,-14400
107,Michigan,Grand Rapids,2,Wed 3/22,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,37.72,46.51,91,14,S,1.68,0,1017,100,1679504400,-14400
108,Michigan,Grand Rapids,3,Thu 3/23,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,36.91,43.81,88,14,N,5.26,0,1013,100,1679590800,-14400
109,Michigan,Grand Rapids,4,Fri 3/24,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,31.93,42.55,63,13,NE,0,0,1014,70,1679677200,-14400
110,Michigan,Grand Rapids,5,Sat 3/25,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,29.97,43.88,93,16,N,1.8,4.38,1000,100,1679763600,-14400
111,Michigan,Marquette,1,Tue 3/21,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,4.12,26.2,82,10,NE,0,0.6,1027,100,1679418000,-14400
112,Michigan,Marquette,2,Wed 3/22,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,24.12,34.63,99,12,S,0.7,2.95,1010,100,1679504400,-14400
113,Michigan,Marquette,3,Thu 3/23,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,13.8,30.13,83,12,W,0,0,1016,100,1679590800,-14400
114,Michigan,Marquette,4,Fri 3/24,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,15.78,28.85,84,7,NE,0,0,1018,95,1679677200,-14400
115,Michigan,Marquette,5,Sat 3/25,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,15.06,31.8,87,9,N,0,0,1007,96,1679763600,-14400
116,Minnesota,Duluth,1,Tue 3/21,Snow,snow,http://openweathermap.org/img/wn/13d@2x.png,10.45,27.36,87,17,NE,0,2.78,1023,100,1679421600,-18000
117,Minnesota,Duluth,2,Wed 3/22,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,21,32.97,98,14,W,0.12,9.5,1009,100,1679508000,-18000
118,Minnesota,Duluth,3,Thu 3/23,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,10.81,29.98,87,7,W,0,0,1019,97,1679594400,-18000
119,Minnesota,Duluth,4,Fri 3/24,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,10.29,27.77,94,7,E,0,0,1017,90,1679680800,-18000
120,Minnesota,Duluth,5,Sat 3/25,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,23.52,33.21,99,5,NE,0,0.16,1010,100,1679767200,-18000
121,Minnesota,Chanhassen/Twin Cities,1,Tue 3/21,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,23.31,37.38,95,13,SE,0,0.2,1017,100,1679421600,-18000
122,Minnesota,Chanhassen/Twin Cities,2,Wed 3/22,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,28.94,37.6,75,14,W,2.24,0,1014,97,1679508000,-18000
123,Minnesota,Chanhassen/Twin Cities,3,Thu 3/23,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,27.97,37.02,60,9,N,0,0.88,1018,100,1679594400,-18000
124,Minnesota,Chanhassen/Twin Cities,4,Fri 3/24,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,28.67,42.03,62,5,SE,0,0,1013,75,1679680800,-18000
125,Minnesota,Chanhassen/Twin Cities,5,Sat 3/25,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,34.2,45,61,8,N,0,0,1009,100,1679767200,-18000
126,Missouri,Kansas City/Pleasant Hill,1,Tue 3/21,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,39.61,45.7,94,15,SE,8.48,0,1015,100,1679421600,-18000
127,Missouri,Kansas City/Pleasant Hill,2,Wed 3/22,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,45.63,73.72,64,15,SW,0.71,0,1010,97,1679508000,-18000
128,Missouri,Kansas City/Pleasant Hill,3,Thu 3/23,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,50.88,69.22,76,23,S,7.11,0,1008,100,1679594400,-18000
129,Missouri,Kansas City/Pleasant Hill,4,Fri 3/24,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,42.87,56.68,78,12,NE,3.96,0,1007,88,1679680800,-18000
130,Missouri,Kansas City/Pleasant Hill,5,Sat 3/25,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,38.66,55.47,58,10,W,0,0,1009,12,1679767200,-18000
131,Missouri,Springfield,1,Tue 3/21,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,38.26,42.49,95,17,SE,10.04,0,1017,100,1679421600,-18000
132,Missouri,Springfield,2,Wed 3/22,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,43.95,69.03,78,19,S,1.12,0,1013,99,1679508000,-18000
133,Missouri,Springfield,3,Thu 3/23,Rain,heavy intensity rain,http://openweathermap.org/img/wn/10d@2x.png,62.83,66.69,86,20,S,30.15,0,1011,100,1679594400,-18000
134,Missouri,Springfield,4,Fri 3/24,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,50.27,63.34,88,14,S,9.6,0,1004,100,1679680800,-18000
135,Missouri,Springfield,5,Sat 3/25,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,45.66,59.27,58,10,NW,1.66,0,1010,15,1679767200,-18000
136,Missouri,St. Louis,1,Tue 3/21,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,39.16,44.55,87,14,SE,7.07,0,1021,100,1679421600,-18000
137,Missouri,St. Louis,2,Wed 3/22,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,40.6,62.71,93,13,S,0.9,0,1014,100,1679508000,-18000
138,Missouri,St. Louis,3,Thu 3/23,Rain,very heavy rain,http://openweathermap.org/img/wn/10d@2x.png,57,69.64,79,16,S,58.87,0,1010,100,1679594400,-18000
139,Missouri,St. Louis,4,Fri 3/24,Rain,heavy intensity rain,http://openweathermap.org/img/wn/10d@2x.png,47.1,54.21,81,12,NW,55.26,0,1008,92,1679680800,-18000
140,Missouri,St. Louis,5,Sat 3/25,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,41.32,57.97,62,12,NW,13.46,0,1008,83,1679767200,-18000
141,Nebraska,Hastings,1,Tue 3/21,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,34.29,48.29,73,17,SE,0.27,0,1009,87,1679421600,-18000
142,Nebraska,Hastings,2,Wed 3/22,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,34.54,57.94,40,15,NE,0.26,0,1012,7,1679508000,-18000
143,Nebraska,Hastings,3,Thu 3/23,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,37.09,56.43,57,14,NE,0,0,1012,99,1679594400,-18000
144,Nebraska,Hastings,4,Fri 3/24,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,35.65,57.58,53,10,E,0,0,1008,32,1679680800,-18000
145,Nebraska,Hastings,5,Sat 3/25,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,40.06,53.98,24,24,SW,0.99,0,1007,50,1679767200,-18000
146,Nebraska,North Platte,1,Tue 3/21,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,30.69,54.68,67,13,NE,0,0,1008,100,1679421600,-18000
147,Nebraska,North Platte,2,Wed 3/22,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,31.51,54.88,45,20,E,0.26,0,1010,39,1679508000,-18000
148,Nebraska,North Platte,3,Thu 3/23,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,31.64,58.66,49,17,NE,0,0,1010,14,1679594400,-18000
149,Nebraska,North Platte,4,Fri 3/24,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,35.11,55.76,43,7,N,0,0,1007,62,1679680800,-18000
150,Nebraska,North Platte,5,Sat 3/25,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,33.42,43.75,50,30,SW,0.23,0.84,1004,24,1679767200,-18000
151,Nebraska,Omaha/Valley,1,Tue 3/21,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,40.17,49.19,70,15,SE,0,0,1011,78,1679421600,-18000
