id,State or region,Total adults in correctional facilities,White adults in correctional facilities, or AA adults in correctional facilities,AI and Al Native adults in correctional facilitiess,Asian adults in correctional facilities,HI and other PacIs adults in correctional facilities,Adults of some other race in correctional facilities,Adults of two or more races in correctional facilities,Hispanic or Latino adults in correctional facilities,Total US Population,Total US Population: White adults,Total US Population: Black or AA adults,Total US Population: AI and Alaska Native adults,Total US Population of Asian adults,Total US Population: Native HI and other PacIs adults,Total US Population: Some other race adults,Total US Population: Adults of two or more races,Total US Population: Hispanic or Latino adults,"Jailing rate per 100,000 adults","Jailing rate per 100,000 of White adults","Jailing rate per 100,000 of Black or AA adults","Jailing rate per 100,000 of AI and Alaska Native adults","Jailing rate per 100,000 of Asian adults","Jailing rate per 100,000 of Native HI and other PacIs adults","Jailing rate per 100,000 of some other race adults","Jailing rate per 100,000 of adults of two or more races","Jailing rate per 100,000 of Hispanic or Latino adults"
15,Illinois,70828,25975,39722,361,250,14,4073,433,9572,12830632,9177877,1866414,43963,586934,4050,861412,289982,2027578,552.0226907,283.0175214,2128.25236,821.1450538,42.59422695,345.6790123,472.828333,149.3196129,472.0903462
16,Indiana,48694,30816,16644,164,77,13,753,227,3045,6483802,5467906,591397,18462,102474,2348,173314,127901,389707,751.0099784,563.5795495,2814.353133,888.3111256,75.14101138,553.6626917,434.4715372,177.4810205,781.3562497
17,Iowa,13309,9561,3096,252,93,14,146,147,1048,3046355,2781561,89148,11084,53094,2003,56132,53333,151544,436.8827665,343.7278564,3472.876565,2273.547456,175.1610351,698.9515726,260.1011901,275.6267227,691.5483292
18,Kansas,18009,11375,5549,337,157,7,352,232,2618,2853118,2391044,167864,28150,67762,2238,110127,85933,300042,631.2041773,475.7336126,3305.652195,1197.158082,231.6932794,312.7792672,319.6309715,269.9777734,872.5445104
19,Kentucky,41122,27833,11966,252,116,14,486,455,2201,4339367,3809537,337520,10120,48930,2501,55551,75208,132836,947.6497379,730.6137202,3545.271391,2490.118577,237.0733701,559.7760896,874.8717395,604.988831,1656.93035
20,Louisiana,60804,19947,39919,149,120,10,361,298,2145,4533372,2836192,1452396,30579,70132,1963,69227,72883,192560,1341.253266,703.3021742,2748.492835,487.2625004,171.1059146,509.4243505,521.4728357,408.8744975,1113.938513
21,Maine,3679,3305,244,64,20,2,20,24,69,1328361,1264971,15707,8568,13571,342,4261,20941,16935,276.957845,261.2708117,1553.447507,746.9654528,147.3730749,584.7953216,469.3733865,114.6077074,407.4402126
22,Maryland,35832,10773,24431,43,105,8,307,165,1462,5773552,3359284,1700298,20420,318853,3157,206832,164708,470632,620.623145,320.6933382,1436.865773,210.5778648,32.93053539,253.4051315,148.4296434,100.1772834,310.6461099
23,Massachusetts,24683,16357,6526,185,225,16,1182,192,5822,6547629,5265236,434398,18850,349768,2223,305151,172003,627654,376.9761543,310.6603389,1502.308942,981.4323607,64.3283548,719.7480882,387.349214,111.62596,927.5811195
24,Michigan,62083,30301,30367,573,213,7,251,371,2567,9883640,7803120,1400362,62007,238199,2604,147029,230319,436358,628.1390257,388.3190314,2168.510714,924.0892157,89.42103031,268.8172043,170.7146209,161.0809356,588.2784319
25,Minnesota,20397,11335,6368,1612,446,19,302,315,2401,5303925,4524062,274412,60916,214234,2156,103000,125145,250258,384.5642614,250.5491746,2320.598225,2646.266991,208.183575,881.2615955,293.2038835,251.7080187,959.409889
26,Mississippi,34273,12722,19634,155,181,16,950,615,3967,2967297,1754684,1098385,15030,25742,1187,38162,34107,81481,1155.024253,725.0308318,1787.533515,1031.270792,703.1310698,1347.935973,2489.387349,1803.148914,4868.619678
27,Missouri,41956,24992,16202,188,43,34,264,233,1389,5988927,4958770,693391,27376,98083,6261,80457,124589,212470,700.5595493,503.9959506,2336.632578,686.7329047,43.84042087,543.0442421,328.1255826,187.014905,653.7393514
28,Montana,5338,3766,145,1196,13,0,150,68,284,989415,884961,4027,62555,6253,668,5975,24976,28565,539.510721,425.5554765,3600.695307,1911.917513,207.9002079,0,2510.460251,272.2613709,994.2237003
29,Nebraska,8084,5394,2032,328,51,2,198,79,1452,1826341,1572838,82885,18427,32293,1279,79109,39510,167405,442.6336593,342.9469532,2451.589552,1779.996744,157.9289629,156.3721658,250.2875779,199.9493799,867.3576058
30,Nevada,19891,12015,5736,426,415,44,924,331,4553,2700551,1786688,218626,32062,195436,16871,324793,126075,716501,736.5533923,672.4733138,2623.658668,1328.675691,212.3457295,260.8025606,284.4888898,262.5421376,635.4492178
31,New Hampshire,4851,4288,337,36,24,2,96,68,350,1316470,1236050,15035,3150,28407,384,12062,21382,36704,368.4854193,346.9115327,2241.436648,1142.857143,84.48621819,520.8333333,795.8879125,318.0245066,953.5745423
32,New Jersey,44468,16563,23999,211,370,48,2526,751,9470,8791894,6029248,1204826,29026,725726,3043,559722,240303,1555144,505.7840779,274.710876,1991.905885,726.9344725,50.98342901,1577.390733,451.2954645,312.5221075,608.9468242
33,New Mexico,17907,12694,1110,2020,57,8,1746,272,9345,2059179,1407876,42550,193222,28208,1810,308503,77010,953403,869.6184256,901.641906,2608.695652,1045.429609,202.0703347,441.9889503,565.9588399,353.200883,980.1731272
34,New York,95306,33918,50859,758,797,55,8435,484,20753,19378102,12740974,3073800,106906,1420244,8766,1441563,585849,3416922,491.823193,266.2119866,1654.596916,709.0341047,56.1171179,627.4241387,585.1287804,82.61514486,607.359489
35,North Carolina,61680,24598,34099,1078,220,18,1310,357,3926,9535483,6528950,2048628,122110,208962,6604,414030,206199,800120,646.8471497,376.7527704,1664.479837,882.8105806,105.2823001,272.5620836,316.4021931,173.1337203,490.6763985
36,North Dakota,2489,1534,133,726,3,5,57,31,139,672591,605449,7960,36591,6909,320,3509,11853,13467,370.0614489,253.365684,1670.854271,1984.094449,43.42162397,1562.5,1624.394414,261.5371636,1032.152669
37,Ohio,76590,41674,32877,178,261,13,1084,503,3802,11536504,9539437,1407681,25292,192233,4066,130030,237765,354674,663.8926316,436.8601627,2335.543351,703.7798513,135.7727341,319.724545,833.6537722,211.5534246,1071.970316
38,Oklahoma,40562,24054,10540,3407,170,36,1504,851,6229,3751351,2706845,277644,321687,65076,4369,154409,221321,332007,1081.26379,888.636032,3796.228264,1059.104036,261.2330199,823.9871824,974.0364875,384.5093778,1876.165262
39,Oregon,22203,17407,2211,700,342,61,1115,367,3641,3831074,3204614,69206,53203,141263,13404,204625,144759,450062,579.5502775,543.1855443,3194.809699,1315.715279,242.1016119,455.0880334,544.8992059,253.524824,808.9996489
40,Pennsylvania,97820,41426,45030,277,531,23,9615,918,14399,12702379,10406288,1377689,26843,349088,3653,300983,237835,719660,770.0919647,398.086234,3268.51706,1031.926387,152.1106426,629.6194908,3194.532582,385.9818782,2000.805936
41,Rhode Island,3783,1985,1134,27,46,0,560,31,910,1052567,856869,60189,6058,30457,554,63653,34787,130655,359.4070496,231.6573479,1884.065195,445.6916474,151.0326033,0,879.770003,89.11374939,696.4907581
42,South Carolina,41649,14237,25763,206,90,18,1072,263,2841,4625364,3060000,1290684,19524,59051,2706,113464,79935,235682,900.4480512,465.2614379,1996.0734,1055.111657,152.4106281,665.1884701,944.7930621,329.0173266,1205.437836
43,South Dakota,6327,3708,476,1852,33,7,128,123,382,814180,699392,10207,71817,7610,394,7477,17283,22119,777.1008868,530.1747804,4663.466249,2578.776613,433.6399474,1776.649746,1711.916544,711.6819997,1727.022017
44,Tennessee,46957,25054,20746,133,103,5,627,289,1725,6346105,4921948,1057315,19994,91242,3642,141955,110009,290059,739.9341801,509.026101,1962.139949,665.1995599,112.8866092,137.2872048,441.6892677,262.7057786,594.7065942
45,Texas,267405,149359,85057,1000,1665,70,28362,1892,91935,25145561,17701552,2979598,170972,964596,21656,2628186,679001,9460921,1063.428253,843.7621741,2854.646835,584.8910933,172.6111242,323.2360547,1079.147366,278.6446559,971.7341472
46,Utah,12666,9969,794,490,81,128,938,266,2982,2763885,2379560,29287,32927,55285,24554,166754,75518,358340,458.2679815,418.9429979,2711.100488,1488.140432,146.5135208,521.2999919,562.5052473,352.2339045,832.1705643
47,Vermont,1592,1348,139,29,5,0,13,58,82,625741,596292,6277,2207,7947,160,2105,10753,9208,254.4183616,226.0637406,2214.433647,1314.000906,62.91682396,0,617.5771971,539.3843579,890.5299739
48,Virginia,65240,26216,37518,191,285,48,663,319,3043,8001024,5486852,1551399,29225,439890,5980,254278,233400,631825,815.3956294,477.7967403,2418.333388,653.5500428,64.7889245,802.6755853,260.7382471,136.6752356,481.6207019
49,Washington,31960,22698,5693,1482,522,250,700,615,4543,6724540,5196362,240042,103869,481067,40475,349799,312926,755790,475.2741451,436.8055959,2371.668291,1426.797216,108.508794,617.6652254,200.1149231,196.5320875,601.0928962
50,West Virginia,16591,11221,4646,97,47,14,389,177,1021,1852994,1739988,63124,3787,12406,428,6119,27142,22268,895.3617767,644.889505,7360.116596,2561.394243,378.8489441,3271.028037,6357.247916,652.1258566,4585.054787
51,Wisconsin,38102,21195,14518,1439,195,88,422,245,2090,5686986,4902067,359148,54526,129234,1827,135867,104317,336056,669.9858238,432.3686314,4042.34466,2639.107949,150.8890849,4816.639299,310.5978641,234.8610485,621.9201562
52,Wyoming,3576,2916,146,296,9,6,121,82,532,563626,511279,4748,13336,4426,427,17049,12361,50231,634.4632788,570.3343967,3074.978939,2219.556089,203.3438771,1405.152225,709.7190451,663.3767495,1059.106926
53,Puerto Rico,12979,8885,2827,214,11,1,878,163,12671,3725789,2825100,461498,19839,6831,370,289905,122246,3688455,348.3557442,314.5021415,612.5703687,1078.683401,161.0305958,270.2702703,302.8578327,133.3376961,343.5313702
